Date,Imports,Weekly U.S. Exports of Crude Oil  (Thousand Barrels per Day)
28-Oct-05,10060,20
4-Nov-05,10584,20
11-Nov-05,9700,20
18-Nov-05,10219,20
25-Nov-05,9693,20
2-Dec-05,10579,20
9-Dec-05,10429,20
16-Dec-05,9859,20
23-Dec-05,10189,20
30-Dec-05,10058,20
6-Jan-06,9870,20
13-Jan-06,9846,20
20-Jan-06,9257,20
27-Jan-06,9596,21
3-Feb-06,9860,21
10-Feb-06,10264,21
17-Feb-06,9959,21
24-Feb-06,9878,21
3-Mar-06,10145,21
10-Mar-06,9940,21
17-Mar-06,9331,21
24-Mar-06,10100,21
31-Mar-06,9953,22
7-Apr-06,9539,22
14-Apr-06,9665,22
21-Apr-06,9864,22
28-Apr-06,9811,22
5-May-06,10007,21
12-May-06,10383,21
19-May-06,9557,21
26-May-06,10842,21
2-Jun-06,10881,21
9-Jun-06,10547,21
16-Jun-06,10994,21
23-Jun-06,10546,21
30-Jun-06,10539,22
7-Jul-06,9619,22
14-Jul-06,10701,22
21-Jul-06,10507,22
28-Jul-06,10431,22
4-Aug-06,10165,21
11-Aug-06,10022,21
18-Aug-06,10197,21
25-Aug-06,11153,21
1-Sep-06,10365,21
8-Sep-06,10597,21
15-Sep-06,10592,21
22-Sep-06,11083,21
29-Sep-06,10513,21
6-Oct-06,10364,21
13-Oct-06,10430,21
20-Oct-06,9494,21
27-Oct-06,10093,21
3-Nov-06,9787,21
10-Nov-06,9450,21
17-Nov-06,10490,21
24-Nov-06,9758,21
1-Dec-06,10299,21
8-Dec-06,9598,21
15-Dec-06,8902,21
22-Dec-06,9129,21
29-Dec-06,10126,21
5-Jan-07,9505,22
12-Jan-07,11057,22
19-Jan-07,9808,22
26-Jan-07,9967,22
2-Feb-07,9547,22
9-Feb-07,9584,22
16-Feb-07,9742,22
23-Feb-07,9522,22
2-Mar-07,8872,22
9-Mar-07,9802,22
16-Mar-07,10418,22
23-Mar-07,9632,22
30-Mar-07,10245,22
6-Apr-07,9804,22
13-Apr-07,9919,22
20-Apr-07,10035,22
27-Apr-07,10264,22
4-May-07,10991,22
11-May-07,10332,23
18-May-07,10892,23
25-May-07,10018,23
1-Jun-07,10240,23
8-Jun-07,10141,23
15-Jun-07,10791,23
22-Jun-07,10501,23
29-Jun-07,10778,23
6-Jul-07,10025,23
13-Jul-07,10375,23
20-Jul-07,10378,23
27-Jul-07,10165,23
3-Aug-07,9998,24
10-Aug-07,9873,24
17-Aug-07,10815,24
24-Aug-07,9822,24
31-Aug-07,10237,25
7-Sep-07,9563,25
14-Sep-07,9805,25
21-Sep-07,10442,25
28-Sep-07,10253,25
5-Oct-07,9869,24
12-Oct-07,10408,24
19-Oct-07,9103,24
26-Oct-07,9381,24
2-Nov-07,9656,25
9-Nov-07,10487,25
16-Nov-07,9820,25
23-Nov-07,10354,25
30-Nov-07,9374,25
7-Dec-07,10063,25
14-Dec-07,9111,25
21-Dec-07,9805,25
28-Dec-07,10009,25
4-Jan-08,9806,25
11-Jan-08,10389,26
18-Jan-08,10156,26
25-Jan-08,10056,26
1-Feb-08,10514,26
8-Feb-08,9737,26
15-Feb-08,10102,26
22-Feb-08,9958,26
29-Feb-08,9437,26
7-Mar-08,10548,26
14-Mar-08,9468,26
21-Mar-08,8898,26
28-Mar-08,10283,26
4-Apr-08,8912,26
11-Apr-08,8879,26
18-Apr-08,10041,26
25-Apr-08,10215,26
2-May-08,10628,26
9-May-08,9933,26
16-May-08,9237,26
23-May-08,8959,26
30-May-08,9786,27
6-Jun-08,9688,27
13-Jun-08,10259,27
20-Jun-08,10251,27
27-Jun-08,10168,27
4-Jul-08,9547,27
11-Jul-08,10791,27
18-Jul-08,9806,27
25-Jul-08,10005,27
1-Aug-08,10193,27
8-Aug-08,9655,27
15-Aug-08,10991,27
22-Aug-08,9979,27
29-Aug-08,9830,26
5-Sep-08,8581,26
12-Sep-08,8510,26
19-Sep-08,7143,26
26-Sep-08,8989,26
3-Oct-08,10346,27
10-Oct-08,10161,27
17-Oct-08,10400,27
24-Oct-08,10337,27
31-Oct-08,9972,27
7-Nov-08,9503,27
14-Nov-08,9871,27
21-Nov-08,10959,27
28-Nov-08,9504,27
5-Dec-08,9959,28
12-Dec-08,9673,28
19-Dec-08,9118,28
26-Dec-08,9249,28
2-Jan-09,10485,28
9-Jan-09,9729,28
16-Jan-09,9866,28
23-Jan-09,9708,28
30-Jan-09,10037,28
6-Feb-09,9652,28
13-Feb-09,8793,29
20-Feb-09,8769,29
27-Feb-09,9028,29
6-Mar-09,9121,29
13-Mar-09,9180,29
20-Mar-09,9384,29
27-Mar-09,9554,29
3-Apr-09,9332,30
10-Apr-09,9391,30
17-Apr-09,9855,30
24-Apr-09,9824,31
1-May-09,9920,31
8-May-09,8708,31
15-May-09,8791,30
22-May-09,8778,30
29-May-09,9646,30
5-Jun-09,8970,30
12-Jun-09,9037,30
19-Jun-09,9284,30
26-Jun-09,9363,30
3-Jul-09,9224,30
10-Jul-09,9549,31
17-Jul-09,9203,31
24-Jul-09,10024,31
31-Jul-09,9287,31
7-Aug-09,9530,31
14-Aug-09,8113,31
21-Aug-09,9225,31
28-Aug-09,9576,31
4-Sep-09,9095,31
11-Sep-09,8903,31
18-Sep-09,9794,31
25-Sep-09,9533,31
2-Oct-09,9098,31
9-Oct-09,8731,32
16-Oct-09,8699,32
23-Oct-09,8890,32
30-Oct-09,8126,32
6-Nov-09,8656,32
13-Nov-09,8579,32
20-Nov-09,8950,32
27-Nov-09,8401,32
4-Dec-09,8137,32
11-Dec-09,7772,32
18-Dec-09,7707,32
25-Dec-09,8027,32
1-Jan-10,8355,32
8-Jan-10,8895,32
15-Jan-10,8540,33
22-Jan-10,7867,33
29-Jan-10,8426,33
5-Feb-10,8342,33
12-Feb-10,8548,33
19-Feb-10,9084,33
26-Feb-10,9236,33
5-Mar-10,8492,33
12-Mar-10,8428,33
