Date	Price	Return
1/2/08	57.65	1.264711049
1/3/08	58.19	0.936686904
1/4/08	56.62	-2.698058086
1/7/08	56.44	-0.317908866
1/8/08	56.42	-0.035435861
1/9/08	58.19	3.137185395
1/10/08	57.86	-0.56710775
1/11/08	56.31	-2.678880055
1/14/08	58.29	3.516249334
1/15/08	55.62	-4.580545548
1/16/08	52.9	-4.89032722
1/17/08	51.2	-3.213610586
1/18/08	52.01	1.58203125
1/22/08	51.3	-1.365122092
1/23/08	51.31	0.019493177
1/24/08	53.48	4.229195089
1/25/08	50.63	-5.329094989
1/28/08	50.58	-0.098755678
1/29/08	50.95	0.731514433
1/30/08	50.37	-1.138370952
1/31/08	51.35	1.945602541
2/1/08	52.99	3.193768257
2/4/08	51.69	-2.453293074
2/5/08	48.32	-6.519636293
2/6/08	48.45	0.269039735
2/7/08	48.37	-0.165118679
2/8/08	47.8	-1.178416374
2/11/08	47.78	-0.041841004
2/12/08	49.06	2.678945165
2/13/08	49.96	1.834488382
2/14/08	50.08	0.240192154
2/15/08	50.06	-0.039936102
2/19/08	51.2	2.277267279
2/20/08	51.31	0.21484375
2/21/08	50.99	-0.623660105
2/22/08	51.98	1.941557168
2/25/08	53.12	2.193151212
2/26/08	55.3	4.103915663
2/27/08	54.8	-0.904159132
2/28/08	53.84	-1.751824818
2/29/08	51.86	-3.67756315
3/3/08	53.34	2.853837254
3/4/08	52.43	-1.706036745
3/5/08	52.42	-0.01907305
3/6/08	50.42	-3.815337657
3/7/08	50.36	-0.119000397
3/10/08	50.02	-0.675138999
3/11/08	53.82	7.596961216
3/12/08	53.51	-0.575994054
3/13/08	53.24	-0.504578583
3/14/08	52.23	-1.897069872
3/17/08	49.91	-4.441891633
3/18/08	52.45	5.089160489
3/19/08	49.23	-6.139180172
3/20/08	48.87	-0.731261426
3/24/08	49.57	1.432371598
3/25/08	50.26	1.39197095
3/26/08	50.55	0.576999602
3/27/08	50.84	0.573689416
3/28/08	49.53	-2.576711251
3/31/08	49.55	0.040379568
4/1/08	51.21	3.350151362
4/2/08	52.54	2.597148994
4/3/08	53.15	1.161020175
4/4/08	52.48	-1.260583255
4/7/08	53.94	2.782012195
4/8/08	54.24	0.556173526
4/9/08	53.91	-0.60840708
4/10/08	54.04	0.241142645
4/11/08	53.6	-0.814211695
4/14/08	52.98	-1.156716418
4/15/08	53.78	1.510003775
4/16/08	54.83	1.952398661
4/17/08	55.21	0.693051249
4/18/08	55.14	-0.126788625
4/21/08	55.48	0.61661226
4/22/08	55.98	0.901225667
4/23/08	55.77	-0.375133976
4/24/08	54.83	-1.685493993
4/25/08	55.19	0.656574868
4/28/08	55.38	0.344265265
4/29/08	55.11	-0.487540628
4/30/08	54.92	-0.344765015
5/1/08	55.03	0.200291333
5/2/08	55.51	0.872251499
5/5/08	56.21	1.261034048
5/6/08	58.37	3.84273261
5/7/08	57.08	-2.210039404
5/8/08	58.19	1.944639103
5/9/08	57.2	-1.701323251
5/12/08	58.34	1.993006993
5/13/08	58.34	0
5/14/08	57.43	-1.559821735
5/15/08	59.14	2.977537872
5/16/08	59.9	1.285086236
5/19/08	59.76	-0.233722871
5/20/08	58.81	-1.589692102
5/21/08	57.96	-1.445332426
5/22/08	58.6	1.1042098
5/23/08	58.12	-0.819112628
5/27/08	56.92	-2.064693737
5/28/08	56.93	0.017568517
5/29/08	56.92	-0.017565431
5/30/08	56.79	-0.228390724
6/2/08	55.14	-2.905441099
6/3/08	54.41	-1.323902793
6/4/08	54.04	-0.680022055
6/5/08	55.25	2.239082161
6/6/08	53.91	-2.425339367
6/9/08	53.18	-1.3541087
6/10/08	51.94	-2.331703648
6/11/08	50.76	-2.271852137
6/12/08	50.5	-0.512214342
6/13/08	51.63	2.237623762
6/16/08	51.9	0.522951772
6/17/08	51.24	-1.271676301
6/18/08	50.58	-1.288056206
6/19/08	51.04	0.909450376
6/20/08	49.52	-2.978056426
6/23/08	49.25	-0.545234249
6/24/08	48.89	-0.730964467
6/25/08	50.37	3.027203927
6/26/08	49.64	-1.449275362
6/27/08	50.82	2.37711523
6/30/08	51.11	0.57064148
7/1/08	49.72	-2.71962434
7/2/08	48.3	-2.855993564
7/3/08	47.97	-0.683229814
7/7/08	48.06	0.187617261
7/8/08	49.17	2.309612984
7/9/08	47.71	-2.969290218
7/10/08	48.76	2.200796479
7/11/08	49.08	0.656275636
7/14/08	48.87	-0.427872861
7/15/08	47.84	-2.107632494
7/16/08	49.22	2.884615385
7/17/08	51.12	3.860219423
7/18/08	50	-2.190923318
7/21/08	49.58	-0.84
7/22/08	50.26	1.371520775
7/23/08	49.42	-1.671309192
7/24/08	48.06	-2.751922299
7/25/08	49.16	2.28880566
7/28/08	49.08	-0.16273393
7/29/08	50.67	3.239608802
7/30/08	52.2	3.019538188
7/31/08	51.7	-0.957854406
8/1/08	50.57	-2.185686654
8/4/08	48.94	-3.223254894
8/5/08	49.51	1.164691459
8/6/08	50.52	2.039991921
8/7/08	48.31	-4.374505146
8/8/08	48.04	-0.558890499
8/11/08	47.5	-1.124063281
8/12/08	47.14	-0.757894737
8/13/08	47.8	1.400084854
8/14/08	48.64	1.757322176
8/15/08	48.01	-1.295230263
8/18/08	47.36	-1.353884607
8/19/08	46.73	-1.330236486
