Date,Stock1,Stock2
08/20/82,631640,361185
08/27/82,631162,358559
09/24/82,634327,357494
10/01/82,635047,357414
10/08/82,636613,357888
10/15/82,630409,349607
10/22/82,640391,356998
10/29/82,639963,355695
11/05/82,639060,354154
11/12/82,632743,346545
11/19/82,640696,354361
11/26/82,636892,348736
12/03/82,646462,356499
12/10/82,653504,361995
12/17/82,654682,362964
12/24/82,651601,359113
12/31/82,647416,354202
01/07/83,644016,349198
01/14/83,656965,361525
01/21/83,653359,356675
01/28/83,660493,362114
02/04/83,656154,355237
02/11/83,663389,361429
02/18/83,668496,364750
02/25/83,677510,372162
03/04/83,668606,361642
03/11/83,672696,364179
03/18/83,668083,358327
03/25/83,669901,359581
04/01/83,665263,353422
04/08/83,671053,357470
04/15/83,677563,362746
04/29/83,682370,364914
05/13/83,685725,364976
05/20/83,691934,367818
06/03/83,683377,356545
06/10/83,682747,355345
06/17/83,682622,354651
06/24/83,683628,353549
07/01/83,687782,355646
07/08/83,683696,349035
07/15/83,682321,346524
07/22/83,683803,345902
07/29/83,688488,348526
08/05/83,686411,344632
08/12/83,680783,336851
08/19/83,688558,342869
08/26/83,696036,347005
09/02/83,702583,350800
09/09/83,701614,348275
09/16/83,705692,349997
09/23/83,708397,350108
09/30/83,711389,350933
10/07/83,715031,353755
10/14/83,721257,356324
10/21/83,718925,353713
10/28/83,712383,346242
11/04/83,726182,357858
11/11/83,730928,361362
11/18/83,727040,356880
11/25/83,723355,352725
12/02/83,719481,348190
12/09/83,728636,354118
12/16/83,727842,352837
12/23/83,725579,348395
12/30/83,727263,348954
01/06/84,730620,349956
01/13/84,736290,353690
01/20/84,733493,349697
01/27/84,730642,346187
02/03/84,727199,342429
02/10/84,727096,341624
02/17/84,729961,343684
02/24/84,726521,339586
03/02/84,726731,339497
03/09/84,722442,334883
03/16/84,722933,334196
03/23/84,720088,330823
03/30/84,724055,332257
04/06/84,735998,342499
04/13/84,739396,345897
04/20/84,740645,345315
04/27/84,737491,341534
05/04/84,745434,348229
05/11/84,752346,353892
05/18/84,761606,362106
05/25/84,754903,354061
06/01/84,764019,361194
06/08/84,768918,363724
06/15/84,768134,359769
06/22/84,761979,353249
06/29/84,770144,357534
07/06/84,765446,351716
07/13/84,771519,354487
07/20/84,780013,361168
07/27/84,773039,352945
08/03/84,777522,353623
08/10/84,780889,354779
08/17/84,772169,344569
08/24/84,775597,347317
08/31/84,772289,342822
09/07/84,769859,339758
09/14/84,769194,339093
09/21/84,758450,328043
09/28/84,760578,329512
10/05/84,764292,332206
