Date,Weekly U.S. Refiner Net Input of Crude Oil  (Thousand Barrels per Day),Weekly U.S. Percent Utilization of Refinery Operable Capacity (Percent)
28-Oct-05,13942,82.5
4-Nov-05,14258,84
11-Nov-05,14479,86.2
18-Nov-05,14910,88.1
25-Nov-05,15149,89.3
2-Dec-05,15408,90.6
9-Dec-05,15220,89.6
16-Dec-05,14922,88
23-Dec-05,15087,88.9
30-Dec-05,15242,89.9
6-Jan-06,15261,89.8
13-Jan-06,14693,86.5
20-Jan-06,14679,86.2
27-Jan-06,14721,87
3-Feb-06,14518,85.8
10-Feb-06,14602,86.1
17-Feb-06,14554,86.6
24-Feb-06,14466,85.2
3-Mar-06,14075,83
10-Mar-06,14388,85.7
17-Mar-06,14643,86.7
24-Mar-06,14728,87
31-Mar-06,14644,85.9
7-Apr-06,14575,85.6
14-Apr-06,14721,86.2
21-Apr-06,15064,88.2
28-Apr-06,15043,88.8
5-May-06,15315,90.2
12-May-06,15336,89.8
19-May-06,15333,89.7
26-May-06,15519,91.4
2-Jun-06,15634,91
9-Jun-06,15830,92.7
16-Jun-06,15968,93.3
23-Jun-06,16124,93.8
30-Jun-06,15940,93.1
7-Jul-06,15496,90.5
14-Jul-06,15906,92.9
21-Jul-06,15817,92.5
28-Jul-06,15516,90.8
4-Aug-06,15608,91.6
11-Aug-06,15578,91.5
18-Aug-06,15747,92.8
25-Aug-06,15801,92.9
1-Sep-06,15993,93.6
8-Sep-06,16018,93
15-Sep-06,15953,93.4
22-Sep-06,15846,92.4
29-Sep-06,15273,89.9
6-Oct-06,15296,89.2
13-Oct-06,14813,86.3
20-Oct-06,14871,86.2
27-Oct-06,15277,88.9
3-Nov-06,15153,88.1
10-Nov-06,14932,87.3
17-Nov-06,14992,87.1
24-Nov-06,15161,88.1
1-Dec-06,15480,90.5
8-Dec-06,15311,89.1
15-Dec-06,15543,90.7
22-Dec-06,15625,90.9
29-Dec-06,15529,91
5-Jan-07,15603,91.5
12-Jan-07,15101,87.9
19-Jan-07,14896,87.4
26-Jan-07,14784,87.1
2-Feb-07,14837,87.3
9-Feb-07,14836,86.6
16-Feb-07,14420,85.2
23-Feb-07,14616,86
2-Mar-07,14757,85.8
9-Mar-07,14592,85.6
16-Mar-07,14789,86.3
23-Mar-07,14956,87
30-Mar-07,14841,87
6-Apr-07,15072,88.4
13-Apr-07,15444,90.4
20-Apr-07,15086,87.8
27-Apr-07,15132,88.3
4-May-07,15306,89
11-May-07,15340,89.5
18-May-07,15691,91.1
25-May-07,15615,91.1
1-Jun-07,15380,89.6
8-Jun-07,15371,89.2
15-Jun-07,15022,87.6
22-Jun-07,15430,89.4
29-Jun-07,15544,90
6-Jul-07,15561,90.2
13-Jul-07,15650,91
20-Jul-07,15822,91.7
27-Jul-07,16210,93.6
3-Aug-07,15791,91.3
10-Aug-07,15783,91.8
17-Aug-07,15727,91.6
24-Aug-07,15469,90.3
31-Aug-07,15901,92.1
7-Sep-07,15564,90.5
14-Sep-07,15357,89.6
21-Sep-07,15018,86.9
28-Sep-07,15154,87.5
5-Oct-07,15111,87.8
12-Oct-07,15123,87.3
19-Oct-07,14940,87.1
26-Oct-07,14927,86.2
2-Nov-07,14884,86.2
9-Nov-07,15048,87.7
16-Nov-07,14897,87
23-Nov-07,15470,89.4
30-Nov-07,15450,89.4
7-Dec-07,15278,88.8
14-Dec-07,15240,87.8
21-Dec-07,15218,88.1
28-Dec-07,15382,89.4
4-Jan-08,15771,91.3
11-Jan-08,15011,87.1
18-Jan-08,14920,86.5
25-Jan-08,14618,85
1-Feb-08,14492,84.3
8-Feb-08,14561,85.1
15-Feb-08,14464,83.5
22-Feb-08,14624,84.7
29-Feb-08,14868,85.9
7-Mar-08,14622,85
14-Mar-08,14427,83.8
21-Mar-08,14135,82.2
28-Mar-08,14207,82.4
4-Apr-08,14349,83
11-Apr-08,14236,81.4
18-Apr-08,14827,85.6
25-Apr-08,14748,85.4
2-May-08,14649,85
9-May-08,15054,86.6
16-May-08,15083,87.9
23-May-08,15297,87.9
30-May-08,15480,89.7
6-Jun-08,15319,88.6
13-Jun-08,15439,89.3
20-Jun-08,15258,88.6
27-Jun-08,15413,89.2
4-Jul-08,15488,89.2
11-Jul-08,15467,89.5
18-Jul-08,15112,87.1
25-Jul-08,15162,87.2
1-Aug-08,15039,87
8-Aug-08,14823,85.9
15-Aug-08,14811,85.7
22-Aug-08,15111,87.3
29-Aug-08,15258,88.7
5-Sep-08,13483,78.3
12-Sep-08,13237,77.4
19-Sep-08,11504,66.7
26-Sep-08,12452,72.3
3-Oct-08,14024,80.9
10-Oct-08,14115,82.2
17-Oct-08,14562,84.8
24-Oct-08,14851,85.3
31-Oct-08,14617,85.3
7-Nov-08,14463,84.6
14-Nov-08,14558,84.9
21-Nov-08,14838,86.2
28-Nov-08,14580,84.3
5-Dec-08,14967,87.4
12-Dec-08,14552,84.1
19-Dec-08,14511,84.7
26-Dec-08,14190,82.5
2-Jan-09,14522,84.6
9-Jan-09,14586,85.2
16-Jan-09,14145,83.3
23-Jan-09,14136,82.5
30-Jan-09,14341,83.5
6-Feb-09,14127,81.6
13-Feb-09,14143,82.3
20-Feb-09,13936,81.4
27-Feb-09,14345,83.1
6-Mar-09,14116,82.7
13-Mar-09,14180,82.1
20-Mar-09,14135,82
27-Mar-09,14158,81.7
3-Apr-09,14287,81.8
10-Apr-09,13987,80.4
17-Apr-09,14516,83.4
24-Apr-09,14334,82.7
1-May-09,14754,85.3
8-May-09,14424,83.7
15-May-09,14109,81.8
22-May-09,14733,85.1
29-May-09,14725,86.3
5-Jun-09,14750,85.9
12-Jun-09,14677,85.9
19-Jun-09,15031,87.1
26-Jun-09,14992,87
3-Jul-09,14966,86.8
10-Jul-09,15105,87.9
17-Jul-09,14779,85.8
24-Jul-09,14608,84.6
31-Jul-09,14434,84.5
7-Aug-09,14365,83.5
14-Aug-09,14504,84
21-Aug-09,14483,84.1
28-Aug-09,14951,87.2
4-Sep-09,15105,87.2
11-Sep-09,15049,86.9
18-Sep-09,14733,85.6
25-Sep-09,14591,84.6
2-Oct-09,14607,85
9-Oct-09,14097,80.9
16-Oct-09,14070,81.1
23-Oct-09,14203,81.8
30-Oct-09,13970,80.6
6-Nov-09,13825,79.9
13-Nov-09,13794,79.4
20-Nov-09,13971,80.3
27-Nov-09,13844,79.7
4-Dec-09,13921,81.1
11-Dec-09,13804,80
18-Dec-09,13777,80
25-Dec-09,13879,80.3
1-Jan-10,13792,79.9
8-Jan-10,14005,81.3
15-Jan-10,13824,78.4
22-Jan-10,13624,78.5
29-Jan-10,13461,77.7
5-Feb-10,13590,79.1
